package	version	publish	manifest_path
oracledb	0.8.2		crates/oracledb/Cargo.toml
oracledb-derive	0.8.2		crates/oracledb-derive/Cargo.toml
oracledb-protocol	0.8.2		crates/oracledb-protocol/Cargo.toml
oracledb-pyshim	0.8.2		crates/oracledb-pyshim/Cargo.toml
